path,size
numpy/polynomial/hermite.py,54634
numpy/polynomial/hermite.pyi,2445
numpy/polynomial/hermite_e.py,52384
numpy/polynomial/hermite_e.pyi,2537
numpy/polynomial/laguerre.py,52547
numpy/polynomial/laguerre.pyi,2174
numpy/polynomial/legendre.py,51170
numpy/polynomial/legendre.pyi,2173
numpy/polynomial/polynomial.py,52349
numpy/polynomial/polynomial.pyi,2002
numpy/polynomial/polyutils.py,22530
numpy/polynomial/polyutils.pyi,10426
numpy/random/.gitignore,62
numpy/random/LICENSE.md,3511
numpy/random/__init__.pxd,431
numpy/random/__init__.py,7506
numpy/random/__init__.pyi,2158
numpy/random/_bounded_integers.pxd.in,841
numpy/random/_bounded_integers.pyx.in,16038
numpy/random/_common.pxd,4982
numpy/random/_common.pyx,40058
numpy/random/_generator.pyi,24683
numpy/random/_generator.pyx,201009
numpy/random/_mt19937.pyi,775
numpy/random/_mt19937.pyx,10641
numpy/random/_pcg64.pyi,1142
numpy/random/_pcg64.pyx,18909
numpy/random/_philox.pyi,1005
numpy/random/_philox.pyx,12134
numpy/random/_pickle.py,2743
numpy/random/_sfc64.pyi,682
numpy/random/_sfc64.pyx,5298
numpy/random/bit_generator.pxd,1007
numpy/random/bit_generator.pyi,3687
numpy/random/bit_generator.pyx,24300
numpy/random/c_distributions.pxd,6344
numpy/random/meson.build,5248
numpy/random/mtrand.pyi,22018
numpy/random/mtrand.pyx,191988
numpy/rec/__init__.py,83
numpy/rec/__init__.pyi,346
numpy/strings/__init__.py,83
numpy/strings/__init__.pyi,1295
numpy/testing/__init__.py,595
numpy/testing/__init__.pyi,1973
numpy/testing/overrides.py,2133
numpy/testing/print_coercion_tables.py,6223
numpy/tests/__init__.py,0
numpy/tests/test__all__.py,221
numpy/tests/test_configtool.py,1555
numpy/tests/test_ctypeslib.py,12351
numpy/tests/test_lazyloading.py,1159
numpy/tests/test_matlib.py,1852
numpy/tests/test_numpy_config.py,1233
numpy/tests/test_numpy_version.py,1754
numpy/tests/test_public_api.py,22828
numpy/tests/test_reloading.py,2367
numpy/tests/test_scripts.py,1645
numpy/tests/test_warnings.py,2346
numpy/typing/__init__.py,5267
numpy/typing/mypy_plugin.py,6470
tools/c_coverage/HOWTO_C_COVERAGE.txt,3722
tools/c_coverage/c_coverage_collect.sh,111
tools/c_coverage/c_coverage_report.py,5987
tools/ci/_blis_debian.pc,351
tools/ci/array-api-xfails.txt,1031
tools/ci/cirrus_arm.yml,3593
tools/ci/cirrus_wheels.yml,5801
tools/ci/push_docs_to_repo.py,2596
tools/ci/run_32_bit_linux_docker.sh,424
tools/ci/test_all_newsfragments_used.py,443
tools/swig/Makefile,808
tools/swig/README,4922
tools/swig/numpy.i,102856
tools/swig/pyfragments.swg,3053
tools/wheels/LICENSE_linux.txt,45231
tools/wheels/LICENSE_osx.txt,45262
tools/wheels/LICENSE_win32.txt,44238
tools/wheels/check_license.py,1361
tools/wheels/cibw_before_build.sh,2670
tools/wheels/cibw_test_command.sh,2367
tools/wheels/gfortran_utils.sh,7125
tools/wheels/repair_windows.sh,862
tools/wheels/upload_wheels.sh,1865
branding/logo/logomark/numpylogoicon.png,18663
branding/logo/logomark/numpylogoicon.svg,1226
branding/logo/logomark/numpylogoicondark.png,18242
branding/logo/logomark/numpylogoiconlight.png,16758
branding/logo/primary/numpylogo.png,18911
branding/logo/primary/numpylogo.svg,3382
branding/logo/primary/numpylogodark.png,18851
branding/logo/primary/numpylogolight.png,17320
branding/logo/secondary/numpylogo2.png,21596
branding/logo/secondary/numpylogo2.svg,3363
branding/logo/secondary/numpylogo2dark.png,21386
branding/logo/secondary/numpylogo2light.png,19579
doc/neps/_static/casting_flow.svg,102158
doc/neps/_static/dtype_hierarchy.svg,38071
doc/neps/_static/nep-0000.png,12925
doc/neps/_static/nep-0040_dtype-hierarchy.png,18746
doc/neps/_static/nep-0041-mindmap.svg,156004
doc/neps/_static/nep-0041-type-sketch-no-fonts.svg,142337
doc/neps/_static/nep-0041-type-sketch.svg,26681
doc/neps/_static/nep-0047-casting-rules-lattice.png,65646
doc/neps/_static/nep-0047-library-dependencies.png,68120
doc/neps/_static/nep-0047-scope-of-array-API.png,85530
doc/neps/_static/nep-0050-promotion-no-fonts.svg,265093
doc/neps/_static/nep-0050-promotion.svg,36892
doc/neps/_static/nep-0055-arena-string-memory-layout.svg,116066
doc/neps/_static/nep-0055-heap-string-memory-layout.svg,117455
doc/neps/_static/nep-0055-short-string-memory-layout.svg,81325
doc/neps/_static/nep0013_image1.png,18653
doc/neps/_static/nep0013_image2.png,6313
doc/neps/_static/nep0013_image3.png,11704
doc/neps/_static/nep43-sketch-with-text.svg,59357
doc/neps/_static/nep43-sketch.svg,403087
doc/neps/tools/build_index.py,4257
doc/release/upcoming_changes/26766.change.rst,114
doc/release/upcoming_changes/27088.change.rst,143
doc/release/upcoming_changes/27119.performance.rst,245
doc/release/upcoming_changes/27147.performance.rst,409
doc/release/upcoming_changes/27156.change.rst,479
doc/release/upcoming_changes/27160.expired.rst,147
doc/release/upcoming_changes/27334.change.rst,381
doc/release/upcoming_changes/27420.new_feature.rst,86
doc/release/upcoming_changes/27661.compatibility.rst,297
doc/release/upcoming_changes/README.rst,2671
doc/release/upcoming_changes/template.rst,823
doc/source/_static/.gitignore,120
doc/source/_static/numpy.css,1734
doc/source/_static/numpylogo.svg,7662
doc/source/_static/numpylogo_dark.svg,7662
doc/source/_static/scipy-mathjax,0
doc/source/_templates/searchbox.html,797
doc/source/building/blas_lapack.rst,5058
doc/source/building/compilers_and_options.rst,3317
