path,size,extension
numpy/random/bit_generator.pyi,3687,pyi
numpy/random/bit_generator.pyx,24300,pyx
numpy/random/c_distributions.pxd,6344,pxd
numpy/random/meson.build,5248,build
numpy/random/mtrand.pyi,22018,pyi
numpy/random/mtrand.pyx,191988,pyx
numpy/rec/__init__.py,83,py
numpy/rec/__init__.pyi,346,pyi
numpy/strings/__init__.py,83,py
numpy/strings/__init__.pyi,1295,pyi
numpy/testing/__init__.py,595,py
numpy/testing/__init__.pyi,1973,pyi
numpy/testing/overrides.py,2133,py
numpy/testing/print_coercion_tables.py,6223,py
numpy/tests/__init__.py,0,py
numpy/tests/test__all__.py,221,py
numpy/tests/test_configtool.py,1555,py
numpy/tests/test_ctypeslib.py,12351,py
numpy/tests/test_lazyloading.py,1159,py
numpy/tests/test_matlib.py,1852,py
numpy/tests/test_numpy_config.py,1233,py
numpy/tests/test_numpy_version.py,1754,py
numpy/tests/test_public_api.py,22828,py
numpy/tests/test_reloading.py,2367,py
numpy/tests/test_scripts.py,1645,py
numpy/tests/test_warnings.py,2346,py
numpy/typing/__init__.py,5267,py
numpy/typing/mypy_plugin.py,6470,py
tools/c_coverage/howto_c_coverage.txt,3722,txt
tools/c_coverage/c_coverage_collect.sh,111,sh
